0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,Dy,F,Fe,Ga,Gd,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,P,Pb,Pd,Pr,Pt,REE,Rb,Rh,Ru,S,Sb,Sc,Se,Si,Sm,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Yb,Zn,Zr
Nb,0,7,2,0,5,16,0,1,0,6,39,0,13,7,0,1,1,0,0,14,31,0,0,0,72,0,0,0,0,30,3,0,8,28,3,0,48,0,2,0,106,4,2,0,0,0,3,0,0,0,4,1,2,0,56,0,1,11,19,0,4,53,0,2,0,3,7,1,5,16
Nd,0,4,2,0,0,0,1,0,0,13,6,0,11,0,0,0,1,3,0,4,4,0,1,0,15,0,0,0,0,0,12,0,2,4,0,0,3,2,0,0,26,2,2,0,1,0,1,0,0,0,4,0,0,0,6,3,0,0,0,0,0,1,0,4,1,0,4,0,0,0
Ni,0,10,21,0,1,2,0,5,0,6,4,0,0,5,5,2,0,19,0,0,25,0,0,1,35,2,0,0,3,2,0,0,7,0,3,3,1,0,0,0,45,12,4,2,0,2,0,0,3,0,36,9,0,8,4,0,2,0,0,5,0,0,1,2,4,0,0,0,3,0
O,5,506,276,0,168,150,69,39,10,213,681,12,90,218,21,52,24,239,2,217,521,4,3,12,1498,23,13,1,0,307,49,77,392,338,47,70,596,106,26,45,0,325,162,0,1,0,16,3,0,0,298,55,14,29,728,4,27,98,28,47,18,220,8,140,157,24,75,4,145,79
P,0,95,10,0,6,35,22,7,0,21,116,2,8,6,1,1,1,19,0,44,115,1,0,1,258,1,0,0,0,21,3,10,72,74,9,12,95,4,2,12,325,0,13,0,0,0,5,0,0,0,16,0,2,0,28,1,0,21,2,0,6,13,0,20,16,3,9,0,29,7
Pb,38,21,74,2,7,7,2,35,1,17,20,5,0,54,2,11,3,50,0,13,44,2,1,8,106,8,2,2,0,16,0,0,9,24,4,3,8,2,2,4,162,13,0,4,0,2,0,1,2,0,112,46,0,16,28,1,6,1,3,23,0,3,19,18,15,4,5,0,13,0
Pd,6,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,0,0,0,0,6,1,0,9,1,0,3,0,0,6,0,0,1,0,0,0,0,0,1,0
Pr,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pt,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,1,0,6,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
REE,0,2,0,0,5,1,3,0,0,0,14,0,1,1,0,0,1,0,0,10,6,0,0,0,12,0,0,0,0,0,0,0,1,5,0,0,11,3,1,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,1,3,0,0,0,0,7,0,0,2
Rb,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,71,78,94,6,6,10,0,46,4,26,61,12,4,47,8,14,3,110,1,23,93,4,1,17,228,25,7,6,3,66,3,1,40,33,8,30,93,4,4,36,298,16,112,6,0,6,0,0,5,0,0,81,0,5,31,0,16,2,0,17,1,7,53,37,16,3,8,0,37,1
Sb,38,4,53,4,4,0,2,9,1,0,12,0,0,7,3,1,1,25,0,0,24,0,0,0,14,10,0,0,1,4,0,0,9,19,2,1,7,1,0,9,55,0,46,1,0,0,0,0,2,0,81,0,0,5,5,0,5,0,2,4,0,3,25,0,3,2,0,0,8,2
Sc,0,5,1,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,4,2,0,0,1,2,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3
Se,5,2,4,3,0,1,0,17,0,0,2,1,0,12,2,0,0,38,0,0,1,0,0,0,16,7,1,0,0,4,0,0,1,0,1,0,3,0,0,8,29,0,16,9,0,3,0,0,1,1,5,5,0,0,0,0,1,0,0,7,0,0,0,7,0,0,0,0,2,0
Si,0,248,19,0,68,93,38,0,0,46,335,0,53,54,1,12,14,19,1,119,194,0,1,1,492,0,0,0,0,172,24,61,132,168,2,4,308,56,6,4,728,28,28,1,0,0,12,1,0,0,31,5,4,0,0,0,10,51,1,0,7,149,0,10,33,4,37,3,34,55
Sm,0,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
Sn,3,10,5,2,4,1,2,3,0,0,11,0,0,2,0,0,0,5,0,1,11,0,0,1,13,0,0,1,0,4,0,3,7,4,0,1,3,1,0,2,27,0,6,3,0,3,0,0,0,0,16,5,0,1,10,0,0,0,1,2,0,4,1,0,1,0,0,0,6,2
