0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ge,H,Hg,I,In,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Nd,Ni,O,Os,P,Pb,Pd,Pt,REE,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr
Ru,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,47,45,45,3,0,1,3,50,1,11,26,3,0,12,12,1,0,118,5,108,3,160,8,1,3,5,22,0,0,27,8,2,8,33,0,0,28,188,3,8,87,3,7,0,5,4,0,56,0,6,15,11,2,0,10,0,0,2,7,3,1,0,25,0
Sb,16,1,14,3,0,0,0,8,0,0,1,1,0,3,2,0,0,18,0,12,0,7,1,0,1,0,0,0,0,0,1,0,0,0,1,0,8,16,0,0,31,8,3,0,1,0,56,0,0,0,1,3,0,1,4,0,0,1,0,1,0,0,1,0
Sc,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Se,5,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,0,13,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Si,0,234,2,0,28,19,22,3,0,11,198,0,15,13,0,3,1,9,40,116,0,310,0,0,0,0,65,7,17,118,50,0,2,142,9,1,6,460,0,4,6,0,0,2,0,0,15,1,2,0,0,2,3,0,0,6,34,0,9,3,1,11,8,20
Sn,3,1,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,5,0,10,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,4,5,4,0,0,0,11,3,0,0,2,0,0,2,0,0,0,0,0,1,0,0,3,0
Sr,0,6,1,0,0,2,0,0,0,6,6,0,5,0,0,1,0,0,2,3,0,12,0,0,0,0,3,2,0,3,3,0,0,7,0,0,0,17,0,3,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,3,0,2,1,0,1,1,0
Ta,0,1,0,0,0,0,0,2,0,0,4,0,3,0,0,0,0,0,3,5,0,5,0,0,0,0,0,0,0,0,5,0,0,2,13,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,0,4,0,0,4,0,0
Te,11,0,2,7,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,6,10,3,0,0,0,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Th,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,3,0,6,0,0,0,0,0,2,0,1,1,0,0,1,3,0,0,14,0,4,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,4,0,2,0,0,2,0,1
Ti,0,5,0,0,3,9,0,0,0,0,24,0,10,1,0,4,0,0,13,26,0,25,0,0,0,0,8,3,2,8,8,0,1,25,16,0,0,68,0,1,2,0,0,2,0,0,0,0,0,0,34,0,3,5,0,4,0,0,8,4,1,9,2,6
Tl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U,0,3,14,0,0,5,0,2,0,6,22,0,2,0,0,3,0,6,4,10,0,78,0,0,0,0,7,1,0,5,2,2,0,6,6,0,0,84,0,16,12,0,0,0,0,0,7,0,0,0,9,0,2,4,0,2,8,0,0,8,0,7,2,0
V,0,2,2,0,0,3,0,3,0,0,14,0,1,1,0,3,0,8,1,9,0,35,0,0,0,0,4,1,0,3,4,0,0,2,0,0,0,43,0,1,7,0,0,0,0,0,3,1,0,0,3,1,1,0,0,0,4,0,8,0,0,3,2,0
W,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Y,0,2,2,0,1,0,3,0,0,4,9,0,4,0,0,3,0,1,3,10,0,17,0,0,0,0,0,3,0,0,2,0,0,0,10,1,0,31,0,2,1,0,0,1,0,0,0,0,0,0,11,0,1,4,0,2,9,0,7,3,0,0,1,1
Zn,2,8,16,0,0,0,1,0,0,7,5,0,0,3,1,2,0,22,0,13,1,48,0,0,1,0,0,0,0,2,5,0,0,2,0,0,0,58,0,6,7,0,0,0,0,0,25,1,0,0,8,3,1,0,1,0,2,0,2,2,0,1,0,0
Zr,0,1,0,0,0,1,0,0,0,0,14,0,1,3,0,0,0,0,5,6,0,11,0,0,0,0,2,1,0,0,5,0,0,13,4,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,6,0,0,0,0,1,0,0
