0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	F	Fe	Ga	Gd	Ge	H	Hg	I	Ir	K	La	Li	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	P	Pb	Pd	REE	Rh	S	Sb	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Zn	Zr
Co	0	0	4	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cr	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	0	5	2	1	0	0	0	0	1	0	0	0	1	0	0	0	8	0	3	0	0	0	4	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cs	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
Cu	3	3	8	1	1	2	0	3	0	1	5	3	1	5	0	2	0	0	0	0	9	0	0	2	15	0	1	0	3	1	0	1	1	0	0	2	0	1	2	21	2	5	0	0	0	11	3	3	5	0	1	2	0	1	0	0	2	2	2	1	0	6	0
Dy	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
F	0	13	2	0	2	9	0	0	0	7	12	0	2	2	0	0	0	0	1	0	5	0	1	0	19	0	0	0	2	1	2	2	4	0	0	19	2	0	0	27	6	3	0	2	0	4	0	0	8	0	0	8	0	0	0	8	0	0	0	0	3	0	0
Fe	0	17	15	0	3	4	2	2	0	1	16	0	1	6	0	0	0	9	0	5	0	0	0	6	45	0	0	0	5	2	3	18	12	1	0	14	4	0	2	61	8	8	0	0	0	12	7	0	19	0	0	3	3	1	0	8	1	2	2	2	1	13	3
Ga	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Ge	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
H	0	57	27	0	20	21	14	3	0	36	69	1	4	15	3	5	1	15	2	19	45	2	2	6	0	3	2	0	22	4	10	43	32	3	7	55	6	4	4	201	44	16	0	2	0	22	1	0	57	1	3	11	1	0	3	16	0	14	8	2	7	20	10
Hg	0	0	0	0	0	0	0	0	1	3	0	0	0	3	0	2	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	1	7	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ir	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
K	0	10	2	0	3	6	4	0	0	1	15	2	2	2	0	0	0	3	0	2	5	0	0	0	22	0	0	0	0	1	6	4	4	0	0	17	4	0	0	33	7	3	0	0	0	2	0	1	19	0	1	2	3	0	1	6	0	2	0	0	2	4	3
La	0	1	0	0	0	1	0	0	0	3	1	0	4	0	0	0	0	1	0	1	2	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3	1	3	0	7	0	0	0	0	0	2	0	0	3	0	0	1	0	0	1	1	0	1	0	0	1	0	0
Li	0	3	1	0	0	1	4	0	0	0	4	0	0	0	0	0	1	0	0	2	3	0	0	0	10	0	0	0	6	0	0	2	3	0	0	8	0	0	0	15	5	0	0	0	0	0	0	0	9	0	1	0	0	0	0	1	0	0	0	0	0	2	3
Mg	0	21	4	0	8	1	3	0	0	5	15	0	0	5	0	1	0	1	0	2	18	0	0	0	43	1	1	0	4	0	2	0	10	1	0	11	0	0	3	52	6	1	0	0	0	5	2	0	15	0	2	1	0	1	0	5	0	1	6	0	0	6	0
Mn	0	5	8	0	5	3	3	0	0	3	12	0	1	5	0	0	0	1	0	4	12	0	0	0	32	0	0	0	4	0	3	10	0	0	0	12	3	0	0	41	4	5	0	0	0	4	3	0	23	0	2	1	1	0	0	5	0	1	1	1	1	10	2
Mo	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
N	0	1	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
