0	Ag	Al	As	Au	B	Ba	Be	Bi	Br	C	Ca	Cd	Ce	Cl	Co	Cr	Cs	Cu	Dy	Er	F	Fe	Ga	Gd	Ge	H	Hf	Hg	I	In	Ir	K	La	Li	Ln	Mg	Mn	Mo	N	Na	Nb	Nd	Ni	O	Os	P	Pb	Pd	Pr	Pt	REE	Rb	Re	Rh	Ru	S	Sb	Sc	Se	Si	Sm	Sn	Sr	Ta	Te	Th	Ti	Tl	U	V	W	Y	Yb	Zn	Zr
O	9	1141	510	0	295	261	127	84	11	430	1440	16	181	369	43	90	30	481	3	1	410	1148	4	4	14	3203	1	32	16	2	0	556	87	121	1	815	660	66	119	1092	187	50	82	0	0	663	347	1	1	0	28	6	0	0	0	647	101	21	37	1587	7	51	155	70	93	41	397	10	298	264	43	140	6	279	137
Os	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P	0	191	13	0	8	48	32	12	0	27	209	2	22	12	1	5	1	41	0	0	81	255	1	0	1	522	0	1	0	0	0	41	10	22	0	123	146	11	21	158	6	8	18	663	0	0	32	0	0	0	6	0	0	0	0	28	0	4	0	43	3	0	31	2	1	11	21	0	52	19	3	12	1	43	10
Pb	70	35	125	11	8	8	2	95	2	33	38	6	1	98	2	20	3	138	0	0	20	88	2	1	8	221	0	10	4	3	2	19	0	0	0	12	43	6	3	15	5	2	6	347	0	32	0	9	0	5	2	1	0	3	0	259	102	0	30	50	1	10	3	3	52	1	10	21	38	27	7	9	0	29	0
Pd	9	0	20	1	0	0	0	14	0	0	0	0	0	0	0	0	0	12	0	0	0	1	0	0	2	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	9	0	0	11	0	0	0	4	0	12	11	0	12	1	0	10	0	0	19	0	0	1	0	0	0	0	0	1	0
Pr	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pt	0	0	5	1	0	0	0	6	0	0	0	0	0	0	0	0	0	14	0	0	0	8	0	0	0	0	0	1	0	2	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	11	0	0	0	0	0	8	1	17	4	0	4	0	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0
REE	0	6	2	0	8	1	3	0	0	0	25	0	3	1	0	0	1	1	0	0	16	9	0	0	0	19	0	0	0	0	0	1	0	0	0	1	6	0	0	17	6	1	0	28	0	6	2	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	3	1	0	3	8	0	1	0	0	12	0	0	2
Rb	0	4	1	0	2	0	1	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	2	0	0	1	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Re	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rh	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	3	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	4	0	8	0	0	0	0	1	13	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ru	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	1	0	9	0	0	0	0	1	0	0	0	1	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S	155	166	189	11	9	13	3	125	5	46	120	18	6	79	26	18	4	322	1	0	37	263	5	1	22	515	0	50	8	10	12	122	3	1	0	86	58	13	51	162	4	4	74	647	3	28	259	12	0	17	0	0	2	13	4	0	184	0	22	64	0	42	6	0	39	1	7	68	56	22	5	10	0	87	1
Sb	68	9	88	7	4	0	2	22	1	0	18	1	0	13	6	1	2	66	0	0	1	44	0	0	0	36	0	20	0	1	2	5	0	0	0	11	26	2	1	12	3	0	19	101	0	0	102	11	0	4	0	0	0	3	0	184	0	0	9	8	0	11	0	5	12	0	4	32	0	4	2	0	0	15	2
Sc	0	5	1	0	0	1	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	0	7	0	0	0	0	0	1	0	0	0	5	2	0	0	2	2	0	0	21	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0	1	0	0	2	0	0	0	0	1	0	0	3
Se	17	2	7	5	0	1	0	34	0	0	2	2	0	13	7	0	0	67	0	0	0	9	0	0	0	21	0	10	1	0	0	4	0	0	0	1	0	1	0	3	0	0	11	37	0	0	30	12	0	4	0	0	0	1	1	22	9	0	0	0	0	1	0	0	12	0	0	3	7	0	0	0	0	5	0
Si	0	630	28	0	128	149	77	3	0	69	720	0	92	90	1	19	18	40	1	1	223	427	0	1	1	1062	1	1	0	0	0	327	36	89	0	345	299	2	10	602	88	11	13	1587	0	43	50	1	0	0	20	3	0	0	0	64	8	9	0	0	1	15	70	2	1	18	241	0	19	44	6	59	4	55	99
Sm	0	1	0	0	0	0	1	0	0	3	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	7	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
Sn	8	11	9	3	7	1	4	3	0	0	17	1	0	3	0	0	0	25	0	0	1	30	0	0	1	26	0	1	0	3	0	4	0	3	0	9	8	1	1	4	1	0	2	51	0	0	10	10	0	7	0	0	0	0	0	42	11	1	1	15	0	0	0	4	2	0	6	1	0	2	1	0	0	13	3
Sr	0	44	4	0	10	32	1	0	0	22	65	0	21	10	0	9	0	3	0	0	29	37	0	0	0	104	0	0	0	0	0	20	10	1	0	18	27	0	0	71	13	0	0	155	0	31	3	0	0	0	3	0	0	0	0	6	0	0	0	70	0	0	0	0	0	1	34	0	6	10	2	7	0	4	18
Ta	0	6	2	0	3	0	0	4	0	3	15	0	4	0	0	0	1	0	0	0	5	19	0	0	0	14	0	0	0	0	0	5	0	2	0	2	12	0	0	11	42	0	0	70	0	2	3	0	0	0	1	0	0	0	0	0	5	1	0	2	0	4	0	0	0	2	13	0	8	0	2	13	0	0	1
Te	26	3	8	17	0	0	0	40	0	4	10	0	0	16	1	1	0	50	0	0	0	24	0	0	1	49	0	5	0	0	3	2	0	0	0	9	6	1	0	0	0	0	7	93	0	1	52	19	0	5	0	0	0	0	0	39	12	0	12	1	0	2	0	0	0	0	2	1	4	1	1	0	0	14	0
Th	0	6	2	0	3	2	1	0	0	2	22	0	10	0	0	0	0	0	0	0	5	11	0	0	0	29	0	0	0	0	0	4	5	0	0	1	3	2	0	10	8	0	0	41	0	11	1	0	0	0	3	0	0	0	0	1	0	0	0	18	0	0	1	2	0	0	12	0	6	0	0	6	0	0	1
Ti	0	46	16	0	13	76	5	0	0	6	124	0	42	14	0	23	3	3	0	0	82	167	0	0	0	214	0	0	0	0	0	87	12	17	1	57	73	0	1	173	97	3	0	397	0	21	10	0	0	0	8	0	0	0	0	7	4	2	0	241	0	6	34	13	2	12	0	0	19	21	1	33	0	20	39
Tl	16	1	49	3	0	0	0	2	1	0	0	0	0	6	0	0	1	20	0	0	0	11	0	0	0	7	0	10	1	0	0	4	0	0	0	0	4	0	0	0	0	0	1	10	0	0	21	1	0	0	0	0	0	0	0	68	32	0	3	0	0	1	0	0	1	0	0	0	0	2	0	0	0	4	0
U	0	20	37	0	0	14	0	7	0	42	68	0	7	2	3	7	1	18	1	0	11	28	0	1	0	273	0	0	0	0	0	31	3	1	0	24	9	10	11	40	13	5	4	298	0	52	38	0	0	0	1	0	0	0	0	56	0	0	7	19	2	0	6	8	4	6	19	0	0	23	1	20	0	6	1
V	1	39	25	0	6	22	1	8	0	3	66	0	4	14	1	10	2	37	0	0	11	43	0	0	1	186	0	1	0	0	0	22	4	2	0	34	32	4	9	37	0	1	4	264	0	19	27	0	0	0	0	1	0	0	0	22	4	0	0	44	0	2	10	0	1	0	21	2	23	0	3	7	0	9	0
W	0	5	5	0	2	2	0	1	0	2	9	0	3	4	0	0	1	4	0	0	2	14	0	0	2	24	0	0	0	0	0	3	0	0	0	7	7	2	0	5	5	1	0	43	0	3	7	0	0	0	0	0	0	0	0	5	2	0	0	6	0	1	2	2	1	0	1	0	1	3	0	3	0	3	3
Y	0	17	6	0	16	8	10	0	0	34	59	0	17	3	0	7	0	4	2	1	41	31	0	3	0	84	0	0	0	0	0	9	5	2	0	3	14	0	0	36	22	10	0	140	0	12	9	0	0	0	12	0	0	0	0	10	0	1	0	59	3	0	7	13	0	6	33	0	20	7	3	0	2	5	6
Yb	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Zn	10	46	74	0	1	3	5	0	0	19	41	3	3	16	1	8	1	70	0	0	3	92	3	0	5	227	0	4	0	3	0	23	1	2	0	41	58	0	1	25	7	0	3	279	0	43	29	1	0	0	0	0	0	0	0	87	15	0	5	55	0	13	4	0	14	0	20	4	6	9	3	5	0	0	0
Zr	0	10	0	0	3	6	3	0	0	10	73	0	13	20	0	4	2	0	0	0	15	40	0	0	0	78	0	0	0	0	0	24	3	8	0	9	31	1	0	81	21	0	0	137	0	10	0	0	0	0	2	0	0	0	0	1	2	3	0	99	0	3	18	1	0	1	39	0	1	0	3	6	0	0	0
