"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","shortcode_ima","loccount"
"947","Chalcophanite","6","0","1875","1875","1875","1875","4","F","L","20","9","Cph","223"
"979","Chalcophyllite","6","0","1841","1841","1801","\N","8","D","F","30","9","Chp","242"
"955","Chalcopyrite","6","0","1725","1725","1725","\N","2","C","B","10a","9","Ccp","30131"
"945","Chalcosiderite","6","0","1814","1814","1814","\N","8","D","D","15","9","Csd","86"
"983","Chalcostibite","6","0","1835","1847","1835","\N","2","H","A","05","9","Ccsb","206"
"978","Chalcothallite","1","0","1978","1966","1967","\N","2","B","D","40","1","Ccth","4"
"27422","Challacolloite","1","2005",,"2004","\N","\N","3","A","A","55","1","Chc","10"
"966","Chambersite","1","0","1962","1962","1962","1962","6","G","A","05","1","Cbs","12"
"965","Chaméanite","1","1980",,"1980","1982","\N","2","L","A","35","1","Céa","5"
"967","Chamosite","6","0","1820","1820","1949","\N","9","E","C","55","9","Chm","689"
"43945","Chanabayaite","1","2013",,"2013","\N","2015","10","C","A","45","1","Cba","1"
"968","Changbaiite","6","0","1978","1978","1978","\N","4","D","F","10","9","Chg","5"
"6860","Changchengite","1","0",,"1995","1997","1997","2","E","B","25","1","Ccg","2"
"6861","Changoite","1","0",,"1997","1999","1999","7","C","C","50","1","Cgo","7"
"969","Chantalite","1","0","1977","1977","1977","1977","9","A","G","55","1","Cht","3"
"1207","Chaoite","1","1968",,"1968","1968","1968","1","C","B","05b","1","Ch","5"
"970","Chapmanite","6","0","1924","1924","1924","1924","9","E","D","25","9","Cpm","36"
"46831","Charleshatchettite","1","2015",,"2015","\N","2017","4","F","M",,"1","Chh","1"
"971","Charlesite","1","1981","1981","1981","1983","\N","7","D","G","15","1","Chrl","12"
"7582","Charmarite","1","1998",,"1992","1997","\N","5","D","A","40","1","Char","1"
"972","Charoite","1","0","1978","1977","1976","\N","9","D","G","92","1","Cha","14"
"973","Chatkalite","1","0","1981","1981","1981","1981","2","C","B","20","1","Ctk","9"
"974","Chayesite","1","1987","1987","1987","1989","\N","9","C","M","05","1","Cys","7"
"39004","Chegemite","1","2008",,"2008","\N","\N","9","A","F",,"1","Cgm","3"
"984","Chekhovichite","1","0","1987","1986","1972","1987","4","J","K","35","1","Ckh","6"
"985","Chelkarite","6","0","1968","1968","1968","1968","6","H","0","05","9","Cka","1"
"986","Chenevixite","6","0","1866","1866","1866","\N","8","D","D","05","9","Cvx","116"
"1208","Chengdeite","1","0",,"1994","1995","1995","1","A","G","35","1","Cgd","7"
"28953","Chenguodaite","1","2005",,"2004","\N","2008","2","B","A","60","1","Cgu","3"
"987","Chenite","1","1983","1983","1983","1986","\N","7","B","C","70","1","Che","47"
"51979","Chenmingite","1","2013",,"2017","\N","2019","4","B","B",,"1","Cnm","2"
"6865","Cheralite","6","1953",,"1953","1967","\N","8","A","D","50","9","Cher","72"
"989","Cheremnykhite","1","0","1990","1989","1990","1990","8","D","L","20","1","Cny","2"
"990","Cherepanovite","1","0","1985","1984","1985","1985","2","C","C","15","1","Cpv","19"
"991","Chernikovite","1","0","1988","1985","1955","\N","8","E","B","15","1","Ckv","24"
"992","Chernovite-(Y)","1","0",,"1967","\N","\N","8","A","D","35","1","Chv-Y","57"
"993","Chernykhite","1","0","1972","1972","1973","1973","9","E","C","15","1","Cyk","7"
"995","Chervetite","1","0","1963","1963","1963","1963","8","F","A","15","1","Crv","8"
"29135","Chesnokovite","1","2006",,"2006","\N","2007","9","A","C","20","1","Ck","1"
"996","Chessexite","1","1981","1981","1981","1982","\N","7","D","G","35","1","Cex","2"
"997","Chesterite","1","0","1977","1977","1978","1978","9","D","F","05","1","Chs","10"
"998","Chestermanite","1","1986","1986","1986","1988","\N","6","A","B","40","1","Csm","1"
"6867","Chevkinite-(Ce)","1","0","1839","1842","1928","\N","9","B","E","70","9","Cvk-Ce","112"
"46394","Chiappinoite-(Y)","1","2014",,"2014","\N","\N","9","D","P","45","1","Cap-Y","1"
"1002","Chiavennite","1","0","1970","1981","1983","\N","9","G","F","25","1","Cve","25"
"39335","Chibaite","1","2009",,"2008","\N","\N","4","D","A",,"1","Cib","1"
"39561","Chihuahuaite","1","2009",,"2009","\N","2010","4","C","C","45","1","Cih","1"
"1003","Childrenite","6","0","1823","1823","1823","1823","8","D","D","20","9","Chd","116"
"1004","Chiluite","1","0","1989","1988","1989","\N","7","B","D","55","1","Cil","1"
"52884","Chinchorroite","1","2013",,"2018","\N","2019","8","F","D","15","1","Cch","1"
"47890","Chinleite-(Y)","0","\N",,"2016","\N","2017","7","C","D","45","1","Chi-Y","2"
"1006","Chiolite","6","0","1846","1846","1846","\N","3","C","E","05","9","Cio","6"
"50349","Chirvinskyite","0","\N",,"2016","\N","2019","9","B","E","92","1","Cvs","1"
"27416","Chistyakovaite","1","2005",,"2005","\N","\N","8","E","B","20","1","Cak","3"
"27495","Chivruaiite","1","2004","1978","2004","\N","\N","9","D","G","45","1","Cvr","5"
"54035","Chiyokoite","0","\N",,"2019","\N","2020","7","D","G","15","1","Cyo","1"
"1007","Chkalovite","6","0","1938","1938","1938","\N","9","D","M","20","9","Ckl","22"
"1008","Chladniite","1","1993","1993","1993","1993","\N","8","A","C","50","1","Clad","5"
"1012","Chloraluminite","6","0","1873","1873","1874","\N","3","B","C","05","9","Cla","6"
"1013","Chlorapatite","6","0",,"1860","1860","\N","8","B","N","05","9","Clap","223"
"1014","Chlorargyrite","1","0","1565","1565","1565","\N","3","A","A","15","9","Cag","1648"
"6868","Chlorartinite","1","1996",,"1996","1998","\N","5","D","A","10","1","Cart","4"
"27207","Chlorbartonite","1","2000","1998","2000","\N","2003","2","F","C","10","1","Cbtn","8"
"1015","Chlorellestadite","2","2010","1982","2017","1982","2018","9","A","H","25","1","Clel","6"
"1016","Chlorite Group","0","0",,"\N","1954","\N","0","0","0",,"0","Chl","13647"
"1017","Chloritoid","1","0",,"1832","1832","\N","9","A","F","85","9","Cld","440"
"43571","Chlorkyuygenite","12","2013",,"2012","\N","\N","4","C","C",,"0","Cky","3"
"1018","Chlormagaluminite","1","0","1982","1980","1966","\N","5","D","A","45","1","Cma","4"
"1019","Chlormanganokalite","6","0","1906","1906","1906","\N","3","C","J","05","9","Cmk","3"
"2606","Chlormayenite","12","2013","1963","1963","1936","\N","4","C","C","20","1","Cmy","24"
"1020","Chlorocalcite","6","0","1872","1872","1823","\N","3","A","A","40","9","Ccal","4"
"1022","Chloromagnesite","7","0",,"1873","1855","\N","3","A","B","20","25","Cmgs","6"
"6869","Chloromenite","1","1996",,"1996","\N","\N","4","J","G","10","1","Cmn","2"
"946","Chlorophoenicite","6","0","1924","1924","1924","\N","8","B","E","35","9","Cpo","5"
"982","Chlorothionite","6","0","1872","1872","1872","1872","7","B","C","25","9","Ctn","5"
"953","Chloroxiphite","6","0","1923","1923","1923","\N","3","D","B","30","9","Cxp","10"
"1026","Choloalite","1","1980","1980","1980","1981","\N","4","J","K","45","1","Cho","8"
"1027","Chondrodite","6","0","1817","1817","1817","\N","9","A","F","45","9","Chn","313"
"46711","Chongite","1","2015",,"2015","\N","\N","8","0","0",,"1","Cng","4"
"29096","Chopinite","1","2006",,"2006","\N","2007","8","A","B","15","1","Cpn","2"
"39970","Chovanite","1","2009",,"2009","\N","2012","2","J","B","35e","1","Cov","8"
"1028","Chrisstanleyite","1","0",,"1996","1990","\N","2","B","C","15","1","Csl","7"
"6870","Christelite","1","0",,"1995","1996","1996","7","D","D","25","1","Cis","6"
"1029","Christite","1","1976","1976","1976","1976","1977","2","H","D","15","1","Cri","9"
"42733","Christofschäferite-(Ce)","1","2012","1982","2011","\N","\N","9","B","E",,"1","Csf-Ce","2"
"1030","Chromatite","1","0","1963","1963","1932","\N","7","F","A","10","1","Crm","9"
"6871","Chrombismite","1","0",,"1995","1996","\N","4","C","C","05","1","Cbis","2"
"7091","Chromceladonite","1","0",,"1999","\N","\N","9","E","C","15","1","Ccel","3"
"1035","Chromferide","1","0",,"1984","1950","\N","1","A","E","15","1","Cfe","10"
"41970","Chromio-pargasite","1","2011",,"2011","\N","2012","9","D","E","15","1","Cprg","2"
"1036","Chromite","6","0","1845","1845","1800","\N","4","B","B","05","9","Chr","4342"
"1037","Chromium","1","0",,"1980","1981","\N","1","A","E","05","1","Cr","29"
"1031","Chromium-dravite","12","2009","1983","1982","1977","\N","9","C","K","05","0","Cdrv","9"
"39891","Chromo-alumino-povondraite","1","2013",,"2013","\N","2014","9","C","K","05","1","Capov","3"
"6872","Chromphyllite","1","0",,"1995","1997","\N","9","E","C","15","1","Crp","6"
"41959","Chromschieffelinite","1","2011",,"2011","\N","2012","7","D","F",,"1","Csfl","1"
"1039","Chrysoberyl","1","0","1789","1789","1789","\N","4","B","A","05","9","Cbrl","389"
"1040","Chrysocolla","6","0","315 ","0","1963","\N","9","E","D","20","9","Ccl","3947"
"43874","Chrysothallite","1","0",,"2013","\N","\N","3","D","A","70","1","Cry","2"
"975","Chrysotile","6","0",,"1834","1953","\N","9","E","D","15","9","Ctl","1086"
"46141","Chubarovite","1","2014",,"2014","\N","2015","6","A","B",,"1","Cub","3"
"1043","Chudobaite","1","0","1960","1960","1960","1960","8","C","E","05","1","Cdb","6"
"28917","Chukanovite","1","2005",,"2005","1976","\N","5","B","A","10","1","Ckn","2"
"41907","Chukhrovite-(Ca)","1","2011",,"2010","\N","2012","3","C","G","3.CG.","1","Chk-Ca","4"
"1044","Chukhrovite-(Ce)","1","0",,"1973","1960","\N","3","C","G","10","1","Chk-Ce","5"
"27474","Chukhrovite-(Nd)","1","2004",,"2004","\N","\N","3","C","G","10","1","Chk-Nd","1"
"1045","Chukhrovite-(Y)","1","0",,"1960","1960","\N","3","C","G","10","1","Chk-Y","5"
"54350","Chukochenite","0","\N",,"2020","1979","\N","0","0","0",,"5","Ckc","1"
"54366","Chukotkaite","0","\N",,"2020","\N","2020","0","0","0",,"1","Ckk","1"
"1047","Churchite-(Y)","1","0","1865","1865","1865","\N","8","C","J","50","9","Cuh-Y","85"
"1048","Chursinite","1","0","1984","1982","1973","1984","8","A","D","60","1","Csi","4"
"1049","Chvaleticeite","1","0","1986","1984","1986","1986","7","C","B","25","1","Cva","5"
"1050","Chvilevaite","1","0","1988","1987","1988","1988","2","F","B","10","1","Cvi","1"
"1051","Cianciulliite","1","0","1991","1990","1991","1991","4","F","L","55","1","Cia","1"
"1052","Cinnabar","6","0",,"0","1789","\N","2","C","D","15a","9","Cin","2801"
"10799","Ciprianiite","1","2001",,"2001","\N","\N","9","D","K","20","1","Cip","2"
"46686","Ciriottiite","1","2015",,"2015","\N","2016","2","L","B",,"1","Cit","2"
"1053","Cirrolite","7","0",,"1868","1868","\N","8","B","H","20","25","Ci","1"
"1056","Clairite","1","1982","1982","1982","1984","1984","7","D","F","55","1","Clai","8"
"1057","Claraite","1","0","1982","1981","1975","1982","5","D","A","30","1","Clar","53"
"1058","Claringbullite","11","2016","1976","1976","1977","1977","3","D","A","15","1","Cgb","18"
"1059","Clarkeite","6","0","1931","1931","1931","1931","4","G","C","05","9","Cke","23"
"1060","Claudetite","6","0","1868","1868","1934","\N","4","C","B","45","9","Cdt","42"
"1061","Clausthalite","6","0","1832","1832","1825","\N","2","C","D","10","9","Cth","355"
"7073","Clearcreekite","1","0",,"1999","\N","2001","5","D","C","30","1","Cck","1"
"6876","Clerite","1","0",,"1995","1989","1996","2","H","A","20","1","Cle","4"
"26262","Cleusonite","1","1998",,"1998","\N","2005","4","C","C","40","1","Ceu","18"
"1064","Cliffordite","1","0","1969","1966","1969","\N","4","J","K","75","1","Cff","4"
"6928","Clino-ferri-holmquistite","1","2014",,"2014","1998","\N","9","0","0",,"1","Cfhlm","2"
"6927","Clino-ferro-ferri-holmquistite","1","2001",,"1997","\N","\N","9","D","E","25","1","Cffhlm","1"
"43851","Clino-oscarkempffite","1","0",,"2012","\N","2018","2","J","B",,"1","Cokp","1"
"51589","Clino-suenoite","1","2013",,"2017","1963","2017","9","D","E",,"1","Csue","118"
"55565","Clinoamphibole","0","\N",,"\N","\N","\N","0","0","0",,"0","Cam","\N"
"1065","Clinoatacamite","1","0",,"1993","1996","\N","3","D","A","10b","1","Cata","59"
"1066","Clinobehoite","1","0","1989","1988","1989","1989","4","F","A","05b","1","Cbht","5"
"1067","Clinobisvanite","1","0","1974","1973","1974","\N","8","A","D","65","1","Cbi","43"
"6879","Clinocervantite","1","0",,"1997","1988","\N","4","D","E","30","1","Ccvn","4"
"1070","Clinochlore","6","0","1851","1851","\N","\N","9","E","C","55","9","Clc","2075"
"1055","Clinoclase","6","0","1830","1830","1801","\N","8","B","E","20","9","Cno","145"
"1072","Clinoenstatite","1","0","1906","1906","1951","\N","9","D","A","10","9","Cen","104"
"1073","Clinoferrosilite","1","0","1935","1935","1935","\N","9","D","A","10","9","Cfs","26"
"1075","Clinohedrite","6","0","1898","1898","1935","\N","9","A","E","30","9","Cnh","9"
"1077","Clinohumite","6","0","1876","1876","1973","\N","9","A","F","55","9","Chu","281"
"1078","Clinojimthompsonite","1","0","1977","1977","1978","\N","9","D","F","05","1","Cjim","4"
"1079","Clinokurchatovite","1","0","1983","1982","1984","\N","6","B","A","10","1","Ckht","3"
"40567","Clinometaborite","1","2010",,"2010","1938","2011","6","0","0",,"1","Cmbo","1"
"1081","Clinophosinaite","1","0","1981","1979","1981","1981","9","C","F","15","1","Cpsi","4"
"6882","Clinoptilolite-Ca","1","0",,"1997","1972","1977","9","G","E","05","1","Cpt-Ca","43"
"6883","Clinoptilolite-K","1","0",,"1923","1972","1990","9","G","E","05","9","Cpt-K","14"
"6884","Clinoptilolite-Na","1","0",,"1969","1972","\N","9","G","E","05","1","Cpt-Na","24"
"7630","Clinopyroxene Subgroup","0","0",,"\N","1949","\N","0","0","0",,"0","Cpx","1479"
"1083","Clinosafflorite","1","0","1971","1970","1966","\N","2","E","B","15a","1","Csaf","27"
"1084","Clinotobermorite","11","2014","1989","1990","1992","1992","9","D","G","10","1","Ctbm","6"
"1086","Clinoungemachite","7","0",,"1938","1938","\N","7","D","G","10","25","Cug","1"
"1087","Clinozoisite","6","0","1896","1896","1968","\N","9","B","G","05a","9","Czo","1183"
"1088","Clintonite","1","0","1828","1843","1940","\N","9","E","C","35","9","Cln","99"
