"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","type_desc","shortcode_ima","loccount"
"4022","Triploidite","6","0","1878","1878","1878","1878","8","B","B","15","9","Brush, G.J., Dana, E.S. (1878) On a new and remarkable mineral locality in Fairfield County, Connecticut; with a description of several new species occurring there. First Paper. American Journal of Science and Arts: 16: 33-46; 114-123 (42,115, 398).","Tpd","37"
"4023","Trippkeite","6","0","1880","1880","1880",\N,"4","J","A","20","9","","Tpk","8"
"4024","Tripuhyite","1","0","1897","1897","1897",\N,"4","D","B","05","9","","Tpy","82"
"4025","Tristramite","1","1982","1982","1982","1983","1983","8","C","J","45","1","Atkin, D., Basham, I.R., Bowles, J.F.W. (1983) Tristramite, a new calcium uranium phosphate of the rhabdophane group. Mineralogical Magazine: 47: 393-396.","Ttm","7"
"4026","Tritomite-(Ce)","1","0","","1987","1850",\N,"9","A","H","25","1","","Tto-Ce","25"
"4027","Tritomite-(Y)","1","0","","1961","1961",\N,"9","A","H","25","1","","Tto-Y","7"
"4013","Trögerite","6","0","1871","1871","1871",\N,"8","E","B","15","9","","Tge","27"
"4028","Trogtalite","6","0","1955","1955","1928","1955","2","E","B","05a","9","Ramdohr, P., Schmitt, M. (1955) Vier neue natürliche Kobaltselenide vom Steinbruch Trogtal bei Laufenthal im Harz. Neues Jahrbuch für Mineralogie, Monatshefte: 1955: 133-142.","Trg","11"
"4029","Troilite","6","0","1863","1863","1766",\N,"2","C","C","10","9","","Tro","1117"
"4030","Trolleite","6","0","1868","1868","1868",\N,"8","B","B","45","9","","Tll","20"
"4031","Trona","6","0","1773","1773","1747",\N,"5","C","B","15","9","","Tn","156"
"4033","Truscottite","6","0","1914","1914","1914","1914","9","E","E","35","9","Hövig, P. (1914) Truscottiet. Jaarboek van het Mijnwezen in Nederlandsch Oost-Indië, Batavia: 41: 192-215 (202).","Tst","13"
"4032","Trüstedtite","1","0","","1964","1964",\N,"2","D","A","05","1","","Trü","5"
"46625","Tsangpoite","1","2015","","2014",\N,"2019","9","A","H","65","1","Hwang, S.L., Shen, P., Chu, H.T., Yui, T.F., Varela, M.E., Iizuka, Y. (2019) New minerals tsangpoite Ca5(PO4)2(SiO4) and matyhite Ca9(Ca0.5□0.5)Fe(PO4)7 from the D'Orbigny angrite. Mineralogical Magazine: 83(2): 293-313.","Tpo","5"
"4034","Tsaregorodtsevite","1","0","1993","1991","1979","1993","9","F","B","10","1","Pautov, L.A., Karpenko, V.Y., Sokolova, E.V., Ignatenko, K.I. (1993) Tsaregorodtsevite N(CH3)4[Si2(Si0.5Al0.5)O6]2 — a new mineral. Zapiski Vserossijskogo Mineralogicheskogo Obshchestva: 128(1): 128-135.","Tsa","3"
"53238","Tschaunerite","0",\N,"","2018",\N,\N,"4","B","B","45","5","","Tsc","1"
"4035","Tschermakite","11","2012","1945","1945","1945",\N,"9","D","E","10","1","","Tsr","87"
"4036","Tschermigite","6","0","1853","1853","1832",\N,"7","C","C","20","9","","Tmi","88"
"4037","Tschernichite","1","0","1972","1989","1991","1991","9","G","F","30","1","Smith, J.V., Pluth, J.J., Boggs, R.C., Howard, D.G. (1991) Tschernichite, the mineral analogue of zeolite beta. Journal of the Chemical Society, Chemical Communications: 1991: 363-364.","Tni","9"
"7343","Tschörtnerite","1","0","","1995","1998",\N,"9","G","F","40","1","","Tht","1"
"26367","Tsepinite-Ca","1","2002","","2002",\N,"2003","9","C","E","30b","1","Pekov, I.V., Chukanov, N.V., Ferraris, G., Gula, A., Pushcharovsky, D.Y., Zadov, A.E. (2003) Tsepinite–Ca,(Ca,K,Na,□)2(Ti,Nb)2(Si4O12)(OH,O)2·4H2O, a new mineral of the labuntsovite group from the Khibiny alkaline massif, Kola Peninsula–Novel disordered sites in the vuoriyarvite-type structure. Neues Jahrbuch für Mineralogie-Monatshefte: 2003(10): 461-480.","Tsp-Ca","3"
