"Mineral Name","Mineral Name (plain)","Year First Published"
"Argentopearceite","Argentopearceite","2020"
"Argentopentlandite","Argentopentlandite","1970"
"Argentopyrite","Argentopyrite","1866"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","1985"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","2016"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","2021"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","2021"
"Argesite","Argesite","2011"
"Argutite","Argutite","1980"
"Argyrodite","Argyrodite","1886"
"Arhbarite","Arhbarite","1981"
"Ariegilatite","Ariegilatite","2017"
"Arisite-(Ce)","Arisite-(Ce)","2009"
"Arisite-(La)","Arisite-(La)","2009"
"Aristarainite","Aristarainite","1973"
"Armalcolite","Armalcolite","1970"
"Armangite","Armangite","1920"
"Armbrusterite","Armbrusterite","2005"
"Armellinoite-(Ce)","Armellinoite-(Ce)","2018"
"Armenite","Armenite","1939"
"Armstrongite","Armstrongite","1972"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","2020"
"Arrojadite-(BaFe)","Arrojadite-(BaFe)","1994"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","2014"
"Arrojadite-(KFe)","Arrojadite-(KFe)","1925"
"Arrojadite-(KNa)","Arrojadite-(KNa)","2005"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","2005"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","2005"
"Arsenatrotitanite","Arsenatrotitanite","2016"
"Arsenbrackebuschite","Arsenbrackebuschite","1977"
"Arsendescloizite","Arsendescloizite","1979"
"Arsenic","Arsenic","0"
"Arseniopleite","Arseniopleite","1888"
"Arseniosiderite","Arseniosiderite","1842"
"Arsenmarcobaldiite","Arsenmarcobaldiite","2016"
"Arsenmedaite","Arsenmedaite","2017"
"Arsenoclasite","Arsenoclasite","1931"
"Arsenocrandallite","Arsenocrandallite","1980"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","1985"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","2009"
"Arsenogorceixite","Arsenogorceixite","1989"
"Arsenogoyazite","Arsenogoyazite","1983"
"Arsenohauchecornite","Arsenohauchecornite","1978"
"Arsenohopeite","Arsenohopeite","2010"
"Arsenolamprite","Arsenolamprite","1886"
"Arsenolite","Arsenolite","1854"
"Arsenopalladinite","Arsenopalladinite","1955"
"Arsenopyrite","Arsenopyrite","1847"
"Arsenotučekite","Arsenotucekite","2020"
"Arsenovanmeersscheite","Arsenovanmeersscheite","2006"
"Arsenowagnerite","Arsenowagnerite","2014"
"Arsenquatrandorite","Arsenquatrandorite","2012"
"Arsentsumebite","Arsentsumebite","1935"
"Arsenudinaite","Arsenudinaite","2018"
"Arsenuranospathite","Arsenuranospathite","1978"
"Arsenuranylite","Arsenuranylite","1958"
"Arsiccioite","Arsiccioite","2013"
"Arsmirandite","Arsmirandite","2014"
"Arthurite","Arthurite","1964"
"Artinite","Artinite","1902"
"Artroeite","Artroeite","1993"
"Artsmithite","Artsmithite","2002"
"Arupite","Arupite","1988"
"Arzrunite","Arzrunite","1899"
"Asbecasite","Asbecasite","1965"
"Asbolane","Asbolane","1841"
"Aschamalmite","Aschamalmite","1982"
"Ashburtonite","Ashburtonite","1990"
"Ashcroftine-(Y)","Ashcroftine-(Y)","1933"
"Ashoverite","Ashoverite","1986"
"Asimowite","Asimowite","2018"
"Asisite","Asisite","1987"
"Åskagenite-(Nd)","Askagenite-(Nd)","2009"
"Aspedamite","Aspedamite","2011"
"Aspidolite","Aspidolite","1869"
"Asselbornite","Asselbornite","1980"
"Astrocyanite-(Ce)","Astrocyanite-(Ce)","1989"
"Astrophyllite","Astrophyllite","1848"
"Atacamite","Atacamite","1803"
"Atelestite","Atelestite","1832"
"Atelisite-(Y)","Atelisite-(Y)","2010"
"Atencioite","Atencioite","2004"
"Athabascaite","Athabascaite","1969"
"Atheneite","Atheneite","1973"
"Atlasovite","Atlasovite","1986"
"Atokite","Atokite","1974"
"Attakolite","Attakolite","1868"
"Attikaite","Attikaite","2006"
"Aubertite","Aubertite","1978"
"Auerbakhite","Auerbakhite","2020"
"Augelite","Augelite","1868"
"Augite","Augite","1685"
"Auriacusite","Auriacusite","2009"
