"Mineral Name","Mineral Name (plain)","Year First Published"
"Lapieite","Lapieite","1983"
"Laplandite-(Ce)","Laplandite-(Ce)","1974"
"Laptevite-(Ce)","Laptevite-(Ce)","2011"
"Larderellite","Larderellite","1854"
"Larisaite","Larisaite","2002"
"Larnite","Larnite","1929"
"Larosite","Larosite","1971"
"Larsenite","Larsenite","1928"
"Lasalite","Lasalite","2007"
"Lasnierite","Lasnierite","2018"
"Latiumite","Latiumite","1953"
"Latrappite","Latrappite","1964"
"Laueite","Laueite","1954"
"Laumontite","Laumontite","1805"
"Launayite","Launayite","1966"
"Lauraniite","Lauraniite","2019"
"Laurelite","Laurelite","1988"
"Laurentianite","Laurentianite","2010"
"Laurentthomasite","Laurentthomasite","2019"
"Laurionite","Laurionite","1887"
"Laurite","Laurite","1866"
"Lausenite","Lausenite","1928"
"Lautarite","Lautarite","1891"
"Lautenthalite","Lautenthalite","1983"
"Lautite","Lautite","1881"
"Lavendulan","Lavendulan","1837"
"Låvenite","Lavenite","1884"
"Laverovite","Laverovite","2018"
"Lavinskyite","Lavinskyite","2012"
"Lavoisierite","Lavoisierite","2012"
"Lavrentievite","Lavrentievite","1984"
"Lawrencite","Lawrencite","1877"
"Lawsonbauerite","Lawsonbauerite","1979"
"Lawsonite","Lawsonite","1895"
"Lazaraskeite","Lazaraskeite","2019"
"Lazarenkoite","Lazarenkoite","1980"
"Lazaridisite","Lazaridisite","2012"
"Lazulite","Lazulite","1795"
"Lazurite","Lazurite","1891"
"Lead","Lead","0"
"Leadamalgam","Leadamalgam","1981"
"Leadhillite","Leadhillite","1832"
"Lechatelierite","Lechatelierite","1915"
"Lecontite","Lecontite","1858"
"Lecoqite-(Y)","Lecoqite-(Y)","2008"
"Leesite","Leesite","2016"
"Lefontite","Lefontite","2014"
"Legrandite","Legrandite","1932"
"Leguernite","Leguernite","2013"
"Lehmannite","Lehmannite","2018"
"Lehnerite","Lehnerite","1986"
"Leifite","Leifite","1915"
"Leightonite","Leightonite","1938"
"Leisingite","Leisingite","1995"
"Leiteite","Leiteite","1976"
"Lemanskiite","Lemanskiite","1999"
"Lemmleinite-Ba","Lemmleinite-Ba","1998"
"Lemmleinite-K","Lemmleinite-K","1997"
"Lemoynite","Lemoynite","1968"
"Lenaite","Lenaite","1994"
"Lengenbachite","Lengenbachite","1905"
"Leningradite","Leningradite","1988"
"Lennilenapeite","Lennilenapeite","1982"
"Lenoblite","Lenoblite","1970"
"Leogangite","Leogangite","1998"
"Leonardsenite","Leonardsenite","2011"
"Leonite","Leonite","1896"
"Leószilárdite","Leoszilardite","2015"
"Lepageite","Lepageite","2018"
"Lepersonnite-(Gd)","Lepersonnite-(Gd)","1981"
"Lepidocrocite","Lepidocrocite","1813"
"Lepkhenelmite-Zn","Lepkhenelmite-Zn","2003"
"Lermontovite","Lermontovite","1956"
"Letovicite","Letovicite","1932"
"Leucite","Leucite","1791"
"Leucophanite","Leucophanite","1840"
"Leucophoenicite","Leucophoenicite","1899"
"Leucophosphite","Leucophosphite","1932"
"Leucosphenite","Leucosphenite","1901"
"Leucostaurite","Leucostaurite","2007"
"Levantite","Levantite","2017"
"Leverettite","Leverettite","2013"
"Levinsonite-(Y)","Levinsonite-(Y)","1996"
"Lévyclaudite","Levyclaudite","1989"
"Lévyne-Ca","Levyne-Ca","1825"
"Lévyne-Na","Levyne-Na","1997"
"Leydetite","Leydetite","2012"
"Liandratite","Liandratite","1975"
"Liberite","Liberite","1964"
"Libethenite","Libethenite","1823"
"Liebauite","Liebauite","1990"
"Liebenbergite","Liebenbergite","1972"
"Liebermannite","Liebermannite","2013"
"Liebigite","Liebigite","1848"
"Liguowuite","Liguowuite","2021"
"Likasite","Likasite","1955"
"Lileyite","Lileyite","2011"
"Lillianite","Lillianite","1889"
"Lime","Lime","0"
"Limousinite","Limousinite","2019"
"Linarite","Linarite","1822"
"Lindackerite","Lindackerite","1853"
"Lindbergite","Lindbergite","2003"
"Lindgrenite","Lindgrenite","1935"
"Lindqvistite","Lindqvistite","1991"
"Lindsleyite","Lindsleyite","1982"
"Lindströmite","Lindstromite","1924"
"Línekite","Linekite","2012"
"Lingbaoite","Lingbaoite","2019"
"Lingunite","Lingunite","2000"
"Linnaeite","Linnaeite","1845"
"Lintisite","Lintisite","1989"
"Linzhiite","Linzhiite","2010"
"Liottite","Liottite","1975"
"Lipscombite","Lipscombite","1962"
"Lipuite","Lipuite","2014"
"Liraite","Liraite","2020"
"Liroconite","Liroconite","1822"
"Lisanite","Lisanite","2021"
"Lisetite","Lisetite","1985"
"Lishizhenite","Lishizhenite","1989"
"Lisiguangite","Lisiguangite","2007"
"Lisitsynite","Lisitsynite","2000"
"Liskeardite","Liskeardite","1878"
"Lislkirchnerite","Lislkirchnerite","2015"
"Litharge","Litharge","1917"
"Lithiomarsturite","Lithiomarsturite","1988"
"Lithiophilite","Lithiophilite","1878"
"Lithiophorite","Lithiophorite","1870"
"Lithiophosphate","Lithiophosphate","1957"
"Lithiotantite","Lithiotantite","1982"
"Lithiowodginite","Lithiowodginite","1988"
"Lithosite","Lithosite","1982"
"Litidionite","Litidionite","1880"
"Litochlebite","Litochlebite","2009"
"Litvinskite","Litvinskite","1999"
"Liudongshengite","Liudongshengite","2019"
"Liuite","Liuite","2018"
"Liveingite","Liveingite","1901"
"Liversidgeite","Liversidgeite","2008"
"Livingstonite","Livingstonite","1874"
"Lizardite","Lizardite","1956"
"Llantenesite","Llantenesite","2019"
"Lobanovite","Lobanovite","1963"
"Lokkaite-(Y)","Lokkaite-(Y)","1969"
"Löllingite","Lollingite","1845"
"Lombardoite","Lombardoite","2016"
"Lomonosovite","Lomonosovite","1950"
"Londonite","Londonite","1999"
"Lonecreekite","Lonecreekite","1982"
"Lonsdaleite","Lonsdaleite","1966"
"Loparite-(Ce)","Loparite-(Ce)","1923"
"Lopatkaite","Lopatkaite","2012"
"Lópezite","Lopezite","1937"
"Lorándite","Lorandite","1894"
"Loranskite-(Y)","Loranskite-(Y)","1899"
"Lorenzenite","Lorenzenite","1901"
"Loseyite","Loseyite","1929"
"Lotharmeyerite","Lotharmeyerite","1982"
"Loudounite","Loudounite","1982"
"Loughlinite","Loughlinite","1960"
"Lourenswalsite","Lourenswalsite","1987"
"Lovdarite","Lovdarite","1972"
"Loveringite","Loveringite","1977"
"Lovozerite","Lovozerite","1939"
"Löweite","Loweite","1847"
"Luanheite","Luanheite","1983"
"Luanshiweiite","Luanshiweiite","2011"
"Luberoite","Luberoite","1990"
"Luboržákite","Luborzakite","2020"
"Lucabindiite","Lucabindiite","2011"
"Lucasite-(Ce)","Lucasite-(Ce)","1986"
"Lucchesiite","Lucchesiite","2015"
"Luddenite","Luddenite","1981"
"Ludjibaite","Ludjibaite","1987"
"Ludlamite","Ludlamite","1885"
"Ludlockite","Ludlockite","1969"
"Ludwigite","Ludwigite","1874"
"Lueshite","Lueshite","1959"
"Luetheite","Luetheite","1976"
"Luinaite-(OH)","Luinaite-(OH)","2009"
"Lukechangite-(Ce)","Lukechangite-(Ce)","1996"
"Lukkulaisvaaraite","Lukkulaisvaaraite","2013"
"Lukrahnite","Lukrahnite","1999"
"Lulzacite","Lulzacite","1998"
"Lumsdenite","Lumsdenite","2018"
"Lüneburgite","Luneburgite","1870"
"Lunijianlaite","Lunijianlaite","1989"
"Lun'okite","Lunokite","1982"
"Luobusaite","Luobusaite","2005"
"Luogufengite","Luogufengite","2016"
"Lusernaite-(Y)","Lusernaite-(Y)","2011"
"Lussierite","Lussierite","2018"
"Luxembourgite","Luxembourgite","2019"
"Luzonite","Luzonite","1874"
"Lyonsite","Lyonsite","1986"
"Macaulayite","Macaulayite","1981"
"Macdonaldite","Macdonaldite","1964"
"Macedonite","Macedonite","1970"
"Macfallite","Macfallite","1974"
"Machatschkiite","Machatschkiite","1976"
"Machiite","Machiite","2016"
"Mackayite","Mackayite","1944"
"Mackinawite","Mackinawite","1964"
"Macphersonite","Macphersonite","1982"
"Macquartite","Macquartite","1979"
"Madocite","Madocite","1966"
"Magadiite","Magadiite","1967"
"Magbasite","Magbasite","1965"
"Maghagendorfite","Maghagendorfite","1979"
"Maghemite","Maghemite","1927"
"Maghrebite","Maghrebite","2005"
"Magnanelliite","Magnanelliite","2019"
"Magnesioalterite","Magnesioalterite","2020"
"Magnesio-arfvedsonite","Magnesio-arfvedsonite","1957"
"Magnesioaubertite","Magnesioaubertite","1982"
"Magnesiobeltrandoite-2<i>N</i>3<i>S</i>","Magnesiobeltrandoite-2N3S","2016"
"Magnesiobermanite","Magnesiobermanite","2019"
"Magnesiocanutite","Magnesiocanutite","2016"
"Magnesiocarpholite","Magnesiocarpholite","1973"
"Magnesiochloritoid","Magnesiochloritoid","1963"
"Magnesiochlorophoenicite","Magnesiochlorophoenicite","1935"
"Magnesiochromite","Magnesiochromite","1873"
"Magnesiocopiapite","Magnesiocopiapite","1938"
"Magnesiocoulsonite","Magnesiocoulsonite","1994"
"Magnesiodumortierite","Magnesiodumortierite","1992"
"Magnesio-ferri-fluoro-hornblende","Magnesio-ferri-fluoro-hornblende","2014"
"Magnesioferrite","Magnesioferrite","1859"
"Magnesiofluckite","Magnesiofluckite","2018"
"Magnesio-fluoro-arfvedsonite","Magnesio-fluoro-arfvedsonite","1998"
"Magnesio-fluoro-hastingsite","Magnesio-fluoro-hastingsite","2005"
"Magnesio-foitite","Magnesio-foitite","1998"
"Magnesio-hastingsite","Magnesio-hastingsite","1928"
"Magnesiohatertite","Magnesiohatertite","2016"
"Magnesiohögbomite-2<i>N</i>2S","Magnesiohogbomite-2N2S","1916"
"Magnesiohögbomite-2<i>N</i>3S","Magnesiohogbomite-2N3S","1963"
"Magnesiohögbomite-2<i>N</i>4S","Magnesiohogbomite-2N4S","2010"
"Magnesiohögbomite-6<i>N</i>12<i>S</i>","Magnesiohogbomite-6N12S","2020"
"Magnesiohögbomite-6<i>N</i>6S","Magnesiohogbomite-6N6S","1990"
"Magnesio-hornblende","Magnesio-hornblende","1965"
"Magnesiohulsite","Magnesiohulsite","1983"
"Magnesiokoritnigite","Magnesiokoritnigite","2013"
"Magnesioleydetite","Magnesioleydetite","2017"
"Magnesio-lucchesiite","Magnesio-lucchesiite","2019"
"Magnesioneptunite","Magnesioneptunite","2009"
"Magnesionigerite-2<i>N</i>1S","Magnesionigerite-2N1S","1988"
"Magnesionigerite-6<i>N</i>6S","Magnesionigerite-6N6S","1989"
"Magnesiopascoite","Magnesiopascoite","2007"
"Magnesio-riebeckite","Magnesio-riebeckite","1957"
"Magnesiorowlandite-(Y)","Magnesiorowlandite-(Y)","2012"
"Magnesiostaurolite","Magnesiostaurolite","1992"
"Magnesiotaaffeite-2<i>N</i>'2S","Magnesiotaaffeite-2N2S","1951"
"Magnesiotaaffeite-6<i>N</i>'3S","Magnesiotaaffeite-6N3S","1966"
"Magnesiovesuvianite","Magnesiovesuvianite","2015"
"Magnesiovoltaite","Magnesiovoltaite","2015"
"Magnesiozippeite","Magnesiozippeite","1971"
"Magnesite","Magnesite","1808"
"Magnetite","Magnetite","1789"
"Magnetoplumbite","Magnetoplumbite","1925"
"Magnioursilite","Magnioursilite","1957"
"Magnolite","Magnolite","1877"
"Magnussonite","Magnussonite","1957"
"Mahnertite","Mahnertite","1994"
"Maikainite","Maikainite","1992"
"Majakite","Majakite","1974"
"Majindeite","Majindeite","2012"
"Majorite","Majorite","1969"
"Majzlanite","Majzlanite","2018"
"Makarochkinite","Makarochkinite","2002"
"Makatite","Makatite","1969"
"Mäkinenite","Makinenite","1964"
"Makotoite","Makotoite","2020"
"Makovickyite","Makovickyite","1986"
"Malachite","Malachite","0"
"Malanite","Malanite","1995"
"Malayaite","Malayaite","1964"
"Maldonite","Maldonite","1869"
"Maleevite","Maleevite","2002"
"Maletoyvayamite","Maletoyvayamite","2019"
"Malhmoodite","Malhmoodite","1992"
"Malinkoite","Malinkoite","2000"
"Malladrite","Malladrite","1926"
"Mallardite","Mallardite","1879"
"Mallestigite","Mallestigite","1996"
"Malyshevite","Malyshevite","2006"
"Mambertiite","Mambertiite","2013"
"Mammothite","Mammothite","1983"
"Manaevite-(Ce)","Manaevite-(Ce)","2018"
"Manaksite","Manaksite","1990"
"Manandonite","Manandonite","1912"
"Mandarinoite","Mandarinoite","1977"
"Maneckiite","Maneckiite","2015"
"Manganarsite","Manganarsite","1985"
"Manganbabingtonite","Manganbabingtonite","1966"
"Manganbelyankinite","Manganbelyankinite","1957"
"Manganberzeliite","Manganberzeliite","1878"
"Manganflurlite","Manganflurlite","2017"
"Mangangordonite","Mangangordonite","1989"
"Manganhumite","Manganhumite","1969"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","2017"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","2002"
"Manganiandrosite-(La)","Manganiandrosite-(La)","1994"
"Manganiceladonite","Manganiceladonite","2015"
"Mangani-dellaventuraite","Mangani-dellaventuraite","2003"
"Manganilvaite","Manganilvaite","2002"
"Mangani-obertiite","Mangani-obertiite","1998"
"Mangani-pargasite","Mangani-pargasite","2019"
"Manganite","Manganite","1826"
"Manganlotharmeyerite","Manganlotharmeyerite","2001"
"Manganoarrojadite-(KNa)","Manganoarrojadite-(KNa)","2020"
"Manganobadalovite","Manganobadalovite","2020"
"Manganoblödite","Manganoblodite","2012"
"Manganochromite","Manganochromite","1975"
"Manganoeudialyte","Manganoeudialyte","2009"
"Mangano-ferri-eckermannite","Mangano-ferri-eckermannite","1968"
"Manganohörnesite","Manganohornesite","1951"
"Manganokaskasite","Manganokaskasite","2013"
"Manganokhomyakovite","Manganokhomyakovite","1998"
"Manganokukisvumite","Manganokukisvumite","2002"
"Manganolangbeinite","Manganolangbeinite","1924"
"Mangano-mangani-ungarettiite","Mangano-mangani-ungarettiite","1994"
"Manganonaujakasite","Manganonaujakasite","1999"
"Manganoneptunite","Manganoneptunite","1923"
"Manganonordite-(Ce)","Manganonordite-(Ce)","1997"
"Manganoquadratite","Manganoquadratite","2011"
"Manganosegelerite","Manganosegelerite","1984"
"Manganosite","Manganosite","1874"
"Manganostibite","Manganostibite","1874"
"Manganotychite","Manganotychite","1989"
"Manganvesuvianite","Manganvesuvianite","2000"
"Mangazeite","Mangazeite","2005"
"Manitobaite","Manitobaite","2008"
"Manjiroite","Manjiroite","1966"
"Mannardite","Mannardite","1983"
"Mansfieldite","Mansfieldite","1948"
"Mantienneite","Mantienneite","1983"
"Maohokite","Maohokite","2017"
"Maoniupingite-(Ce)","Maoniupingite-(Ce)","2003"
"Mapimite","Mapimite","1978"
"Mapiquiroite","Mapiquiroite","2013"
"Marathonite","Marathonite","2016"
"Marcasite","Marcasite","0"
"Marchettiite","Marchettiite","2017"
"Marcobaldiite","Marcobaldiite","2015"
"Marécottite","Marecottite","2001"
"Margaritasite","Margaritasite","1980"
"Margarite","Margarite","1821"
"Margarosanite","Margarosanite","1916"
"Marialite","Marialite","1866"
"Marićite","Maricite","1976"
"Maricopaite","Maricopaite","1985"
"Mariinskite","Mariinskite","2011"
"Marinaite","Marinaite","2016"
"Marinellite","Marinellite","2002"
"Markascherite","Markascherite","2010"
"Markcooperite","Markcooperite","2009"
"Markeyite","Markeyite","2017"
"Markhininite","Markhininite","2012"
"Marklite","Marklite","2015"
"Marokite","Marokite","1963"
"Marrite","Marrite","1905"
"Marrucciite","Marrucciite","2006"
"Marshite","Marshite","1892"
"Marsturite","Marsturite","1977"
"Marthozite","Marthozite","1968"
"Martinandresite","Martinandresite","2017"
"Martinite","Martinite","2001"
"Martyite","Martyite","2007"
"Marumoite","Marumoite","1998"
"Maruyamaite","Maruyamaite","2013"
"Mascagnite","Mascagnite","1800"
"Maslovite","Maslovite","1978"
"Massicot","Massicot","1841"
"Masutomilite","Masutomilite","1974"
"Masuyite","Masuyite","1947"
"Mathesiusite","Mathesiusite","2013"
"Mathewrogersite","Mathewrogersite","1984"
"Mathiasite","Mathiasite","1982"
"Matildite","Matildite","1883"
"Matioliite","Matioliite","2005"
"Matlockite","Matlockite","1851"
"Matsubaraite","Matsubaraite","2000"
"Mattagamite","Mattagamite","1972"
"Matteuccite","Matteuccite","1952"
"Mattheddleite","Mattheddleite","1985"
"Matulaite","Matulaite","1977"
"Matyhite","Matyhite","2016"
"Maucherite","Maucherite","1913"
"Mauriziodiniite","Mauriziodiniite","2019"
"Mavlyanovite","Mavlyanovite","2008"
"Mawbyite","Mawbyite","1988"
"Mawsonite","Mawsonite","1964"
"Maxwellite","Maxwellite","1987"
"Mayingite","Mayingite","1993"
"Mazzettiite","Mazzettiite","2004"
"Mazzite-Mg","Mazzite-Mg","1973"
"Mazzite-Na","Mazzite-Na","2003"
"Mbobomkulite","Mbobomkulite","1979"
"Mcallisterite","Mcallisterite","1963"
"Mcalpineite","Mcalpineite","1992"
"Mcauslanite","Mcauslanite","1986"
"Mcbirneyite","Mcbirneyite","1985"
"Mcconnellite","Mcconnellite","1967"
"Mccrillisite","Mccrillisite","1991"
"Mcgillite","Mcgillite","1979"
"Mcgovernite","Mcgovernite","1927"
"Mcguinnessite","Mcguinnessite","1977"
"Mckelveyite-(Y)","Mckelveyite-(Y)","1964"
"Mckinstryite","Mckinstryite","1966"
"Mcnearite","Mcnearite","1980"
"Medaite","Medaite","1979"
"Medenbachite","Medenbachite","1993"
"Meerschautite","Meerschautite","2013"
"Megacyclite","Megacyclite","1991"
"Megakalsilite","Megakalsilite","2001"
"Megawite","Megawite","2009"
"Meieranite","Meieranite","2015"
"Meierite","Meierite","2014"
"Meifuite","Meifuite","2020"
"Meionite","Meionite","1801"
"Meisserite","Meisserite","2013"
"Meitnerite","Meitnerite","2017"
"Meixnerite","Meixnerite","1974"
"Mejillonesite","Mejillonesite","2010"
"Melanarsite","Melanarsite","2014"
"Melanocerite-(Ce)","Melanocerite-(Ce)","1887"
"Melanophlogite","Melanophlogite","1876"
"Melanostibite","Melanostibite","1893"
"Melanotekite","Melanotekite","1880"
"Melanothallite","Melanothallite","1870"
"Melanovanadite","Melanovanadite","1921"
"Melansonite","Melansonite","2019"
"Melanterite","Melanterite","0"
"Melcherite","Melcherite","2015"
"Meliphanite","Meliphanite","1852"
"Melkovite","Melkovite","1968"
"Melliniite","Melliniite","2005"
"Mellite","Mellite","1793"
"Mellizinkalite","Mellizinkalite","2014"
"Melonite","Melonite","1868"
"Mélonjosephite","Melonjosephite","1973"
"Menchettiite","Menchettiite","2011"
"Mendeleevite-(Ce)","Mendeleevite-(Ce)","2009"
"Mendeleevite-(Nd)","Mendeleevite-(Nd)","2015"
"Mendigite","Mendigite","2014"
"Mendipite","Mendipite","1824"
"Mendozavilite-KCa","Mendozavilite-KCa","2011"
"Mendozavilite-NaCu","Mendozavilite-NaCu","2011"
"Mendozavilite-NaFe","Mendozavilite-NaFe","1982"
"Mendozite","Mendozite","1868"
"Meneghinite","Meneghinite","1852"
"Menezesite","Menezesite","2005"
"Mengeite","Mengeite","2018"
"Mengxianminite","Mengxianminite","2015"
"Meniaylovite","Meniaylovite","2002"
"Menshikovite","Menshikovite","1993"
"Menzerite-(Y)","Menzerite-(Y)","2009"
"Mercallite","Mercallite","1935"
"Mercury","Mercury","0"
"Mereheadite","Mereheadite","1996"
"Mereiterite","Mereiterite","1993"
"Merelaniite","Merelaniite","2016"
"Merenskyite","Merenskyite","1965"
"Meridianiite","Meridianiite","2007"
"Merlinoite","Merlinoite","1976"
"Merrihueite","Merrihueite","1965"
"Merrillite","Merrillite","1917"
"Mertieite-I","Mertieite-I","1971"
"Mertieite-II","Mertieite-II","1973"
"Merwinite","Merwinite","1921"
"Mesaite","Mesaite","2015"
"Mesolite","Mesolite","1813"
"Messelite","Messelite","1890"
"Meta-aluminite","Meta-aluminite","1967"
"Meta-alunogen","Meta-alunogen","1942"
"Meta-ankoleite","Meta-ankoleite","1963"
"Meta-autunite","Meta-autunite","1904"
"Metaborite","Metaborite","1964"
"Metacalciouranoite","Metacalciouranoite","1971"
"Metacinnabar","Metacinnabar","1870"
"Metadelrioite","Metadelrioite","1967"
"Metahaiweeite","Metahaiweeite","1959"
"Metaheinrichite","Metaheinrichite","1958"
"Metahewettite","Metahewettite","1914"
"Metahohmannite","Metahohmannite","1938"
"Metakahlerite","Metakahlerite","1958"
"Metakirchheimerite","Metakirchheimerite","1958"
"Metaköttigite","Metakottigite","1979"
"Metalodèvite","Metalodevite","1972"
"Metamunirite","Metamunirite","1990"
"Metanatroautunite","Metanatroautunite","1957"
"Metanováčekite","Metanovacekite","1964"
"Metarauchite","Metarauchite","2008"
"Metarossite","Metarossite","1927"
"Metasaléeite","Metasaleeite","1950"
"Metaschoderite","Metaschoderite","1962"
"Metaschoepite","Metaschoepite","1960"
"Metasideronatrite","Metasideronatrite","1938"
"Metastibnite","Metastibnite","1888"
"Metastudtite","Metastudtite","1981"
"Metaswitzerite","Metaswitzerite","1967"
"Metatamboite","Metatamboite","2016"
"Metathénardite","Metathenardite","2015"
"Metatorbernite","Metatorbernite","1916"
"Metatyuyamunite","Metatyuyamunite","1954"
"Metauramphite","Metauramphite","1957"
"Metauranocircite-I","Metauranocircite-I","1904"
"Metauranopilite","Metauranopilite","1935"
"Metauranospinite","Metauranospinite","1958"
"Metauroxite","Metauroxite","2019"
"Metavandendriesscheite","Metavandendriesscheite","1960"
"Metavanmeersscheite","Metavanmeersscheite","1981"
"Metavanuralite","Metavanuralite","1970"
"Metavariscite","Metavariscite","1925"
"Metavauxite","Metavauxite","1927"
"Metavivianite","Metavivianite","1973"
"Metavoltine","Metavoltine","1883"
"Metazellerite","Metazellerite","1965"
"Metazeunerite","Metazeunerite","1937"
"Meurigite-K","Meurigite-K","1995"
"Meurigite-Na","Meurigite-Na","2007"
"Meyerhofferite","Meyerhofferite","1914"
"Meymacite","Meymacite","1874"
"Meyrowitzite","Meyrowitzite","2018"
"Mgriite","Mgriite","1980"
"Mianningite","Mianningite","2014"
"Miargyrite","Miargyrite","1829"
"Miassite","Miassite","1997"
"Michalskiite","Michalskiite","2019"
"Micheelsenite","Micheelsenite","1999"
"Michenerite","Michenerite","1958"
"Michitoshiite-(Cu)","Michitoshiite-(Cu)","2020"
"Microcline","Microcline","1830"
"Microsommite","Microsommite","1872"
"Middendorfite","Middendorfite","2005"
"Middlebackite","Middlebackite","2015"
"Mieite-(Y)","Mieite-(Y)","2014"
"Miersite","Miersite","1898"
"Miessiite","Miessiite","2006"
"Miguelromeroite","Miguelromeroite","2008"
"Miharaite","Miharaite","1976"
"Mikasaite","Mikasaite","1992"
"Mikehowardite","Mikehowardite","2021"
"Milanriederite","Milanriederite","2018"
"Milarite","Milarite","1870"
"Milkovoite","Milkovoite","2021"
"Millerite","Millerite","1845"
"Millisite","Millisite","1930"
"Millosevichite","Millosevichite","1913"
"Millsite","Millsite","2015"
"Milotaite","Milotaite","2003"
"Mimetite","Mimetite","1832"
"Minakawaite","Minakawaite","2019"
"Minasgeraisite-(Y)","Minasgeraisite-(Y)","1983"
"Minasragrite","Minasragrite","1915"
"Mineevite-(Y)","Mineevite-(Y)","1991"
"Minehillite","Minehillite","1983"
"Minguzzite","Minguzzite","1955"
"Minium","Minium","1806"
"Minjiangite","Minjiangite","2013"
"Minnesotaite","Minnesotaite","1944"
"Minohlite","Minohlite","2012"
"Minrecordite","Minrecordite","1980"
"Minyulite","Minyulite","1933"
"Mirabilite","Mirabilite","1845"
"Mirnyite","Mirnyite","2020"
"Misakiite","Misakiite","2013"
"Misenite","Misenite","1849"
"Miserite","Miserite","1950"
"Mitridatite","Mitridatite","1914"
"Mitrofanovite","Mitrofanovite","2018"
"Mitryaevaite","Mitryaevaite","1991"
"Mitscherlichite","Mitscherlichite","1925"
"Mixite","Mixite","1880"
"Miyahisaite","Miyahisaite","2011"
"Moabite","Moabite","2021"
"Moctezumite","Moctezumite","1965"
"Modderite","Modderite","1923"
"Moëloite","Moeloite","1998"
"Mogánite","Moganite","1984"
"Mogovidite","Mogovidite","2004"
"Mohite","Mohite","1981"
"Möhnite","Mohnite","2014"
"Mohrite","Mohrite","1964"
"Moissanite","Moissanite","1905"
"Mojaveite","Mojaveite","2013"
"Molinelloite","Molinelloite","2016"
"Moluranite","Moluranite","1957"
"Molybdenite","Molybdenite","1796"
"Molybdite","Molybdite","1907"
"Molybdofornacite","Molybdofornacite","1982"
"Molybdomenite","Molybdomenite","1882"
"Molybdophyllite","Molybdophyllite","1901"
"Molysite","Molysite","1868"
"Momoiite","Momoiite","2009"
"Monazite-(Ce)","Monazite-(Ce)","1829"
"Monazite-(La)","Monazite-(La)","1966"
"Monazite-(Nd)","Monazite-(Nd)","1986"
"Monazite-(Sm)","Monazite-(Sm)","2001"
"Moncheite","Moncheite","1963"
"Monchetundraite","Monchetundraite","2019"
"Monetite","Monetite","1882"
"Mongolite","Mongolite","1983"
"Monimolite","Monimolite","1866"
"Monipite","Monipite","2007"
"Monohydrocalcite","Monohydrocalcite","1964"
"Montanite","Montanite","1868"
"Montbrayite","Montbrayite","1946"
"Montdorite","Montdorite","1979"
"Montebrasite","Montebrasite","1871"
"Monteneroite","Monteneroite","2020"
"Monteneveite","Monteneveite","2018"
"Monteponite","Monteponite","1901"
"Monteregianite-(Y)","Monteregianite-(Y)","1972"
"Montesommaite","Montesommaite","1988"
"Montetrisaite","Montetrisaite","2007"
"Montgomeryite","Montgomeryite","1940"
"Monticellite","Monticellite","1831"
"Montmorillonite","Montmorillonite","1847"
"Montroseite","Montroseite","1953"
"Montroyalite","Montroyalite","1985"
"Montroydite","Montroydite","1903"
"Mooihoekite","Mooihoekite","1971"
"Moolooite","Moolooite","1980"
"Mooreite","Mooreite","1929"
"Moorhouseite","Moorhouseite","1963"
"Mopungite","Mopungite","1982"
"Moraesite","Moraesite","1953"
"Moraskoite","Moraskoite","2013"
"Mordenite","Mordenite","1864"
"Moreauite","Moreauite","1984"
"Morelandite","Morelandite","1977"
"Morenosite","Morenosite","1850"
"Morimotoite","Morimotoite","1992"
"Morinite","Morinite","1891"
"Morozeviczite","Morozeviczite","1974"
"Morrisonite","Morrisonite","2014"
"Mosandrite-(Ce)","Mosandrite-(Ce)","1842"
"Moschelite","Moschelite","1987"
"Moschellandsbergite","Moschellandsbergite","1938"
"Mosesite","Mosesite","1910"
"Moskvinite-(Y)","Moskvinite-(Y)","2002"
"Mössbauerite","Mossbauerite","2012"
"Mottanaite-(Ce)","Mottanaite-(Ce)","2001"
"Mottramite","Mottramite","1876"
"Motukoreaite","Motukoreaite","1976"
"Mounanaite","Mounanaite","1968"
"Mountainite","Mountainite","1957"
"Mountkeithite","Mountkeithite","1980"
"Mourite","Mourite","1962"
"Moxuanxueite","Moxuanxueite","2020"
"Moydite-(Y)","Moydite-(Y)","1985"
"Mozartite","Mozartite","1991"
"Mozgovaite","Mozgovaite","1998"
"Mpororoite","Mpororoite","1970"
"Mrázekite","Mrazekite","1990"
"Mroseite","Mroseite","1974"
"Mückeite","Muckeite","1988"
"Muirite","Muirite","1964"
"Mukhinite","Mukhinite","1968"
"Müllerite","Mullerite","2019"
"Mullite","Mullite","1924"
"Mummeite","Mummeite","1986"
"Munakataite","Munakataite","2007"
"Mundite","Mundite","1980"
"Mundrabillaite","Mundrabillaite","1978"
"Munirite","Munirite","1982"
"Muonionalustaite","Muonionalustaite","2020"
"Murakamiite","Murakamiite","2016"
"Murashkoite","Murashkoite","2012"
"Murataite-(Y)","Murataite-(Y)","1972"
"Murchisite","Murchisite","2010"
"Murdochite","Murdochite","1955"
"Murmanite","Murmanite","1930"
"Murunskite","Murunskite","1980"
"Muscovite","Muscovite","1850"
"Museumite","Museumite","2003"
"Mushistonite","Mushistonite","1982"
"Muskoxite","Muskoxite","1967"
"Muthmannite","Muthmannite","1911"
"Mutinaite","Mutinaite","1996"
"Mutnovskite","Mutnovskite","2004"
